modern_nam;LCD_name;ID;unci;x;y;province;kylaegund;parocchia
Ohtu;Heukael;LCD263;20;521191;6570052;;Uomentakae;Keykel
Kõldu;Hiltae;LCD172;24;621248;6592722;Uironia;Repel [Vir];Halelae
Iira;Hirae;LCD64;13;542091;6538805;Haeriae;;Haccriz
Iru;Hirwae;LCD66;7;551285;6592554;;Repel;Jeeleth
Hüüru;Hiurenkylae;LCD60;10;530680;6582518;;Uomentakae;Keykel
Vanaküla;Hockae;LCD429;28;625748;6591465;Uironia;Repel [Vir];Halelae
Voose;Hohen;LCD465;8;581360;6563905;Haeriae;;Kolkis
Kolga;Holki;LCD487;;591288;6596006;;Repel;Kusala
Idavere;Honolius;LCD61;12;629833;6590745;Uironia;Repel [Vir];Halelae
Ubasalu;Hopasal;LCD407;6;527680;6547705;Haeriae;;Haccriz
Hõbeda;Hoppaethae;LCD55;12;617332;6585806;Uironia;Repel [Vir];Toruestaeuaerae
Hõreda;Horaetha;LCD56;9;552963;6542905;Haeriae;;Juriz
Rae;Houonurmae;LCD318;5;549789;6583309;;Ocrielae;Waskael
Haiba;Howympae;LCD42;7;526985;6554482;Haeriae;;Haccriz
Hulja;Hullia;LCD53;50;626032;6581641;Uironia;Repel [Vir];Toruestaeuaerae
Humala;Humebo;LCD54;10;523082;6580909;;Uomentakae;Keykel
Üksnurme;Huxnum;LCD480;7;535882;6571838;;Uomentakae;Keykel
Pälli;Hyraenkulae;LCD309;2;509275;6565351;;Uomentakae;Keykel
Hirla;Hyruelae;LCD50;12;634764;6546610;Uironia;Lemmun;Katcaekylae
Jalase;Iales;LCD68;14;535960;6536756;Haeriae;;Haccriz
Inju;Inie;LCD65;9;634921;6572221;Uironia;Laemund;Vov
Hirvli;Irmari;LCD52;8;587364;6590510;;Repel;Kusala
